window_idx,start,end,n_hours,observed_mean,observed_p90,observed_max,mean_mae_supervised
23,2024-03-05,2024-03-11 23:00:00,168,53.529761904761905,74.0,86.0,11.554543475619571
24,2024-03-06,2024-03-12 23:00:00,168,56.55357142857143,74.0,86.0,11.09084169485401
25,2024-03-07,2024-03-13 23:00:00,168,54.398809523809526,75.30000000000001,86.0,11.568153879703615
26,2024-03-08,2024-03-14 23:00:00,168,54.42857142857143,78.30000000000001,94.0,12.11395999398769
27,2024-03-09,2024-03-15 23:00:00,168,53.333333333333336,76.0,94.0,11.804341460330962
28,2024-03-10,2024-03-16 23:00:00,168,51.083333333333336,81.30000000000001,96.0,13.181219748763422
29,2024-03-11,2024-03-17 23:00:00,168,49.779761904761905,84.0,96.0,14.278703269018793
30,2024-03-20,2024-03-26 23:00:00,168,51.11309523809524,74.0,102.0,13.116352489813107
31,2024-03-21,2024-03-27 23:00:00,168,52.93452380952381,73.30000000000001,102.0,12.498476049376164
32,2024-03-22,2024-03-28 23:00:00,168,54.80952380952381,73.30000000000001,102.0,12.241612465135402
33,2024-03-23,2024-03-29 23:00:00,168,60.63095238095238,76.30000000000001,102.0,11.801895946308822
34,2024-03-24,2024-03-30 23:00:00,168,64.01190476190476,80.0,93.0,11.220559579017495
35,2024-04-17,2024-04-23 23:00:00,168,69.60714285714286,85.30000000000001,100.0,10.171606650586504
36,2024-04-18,2024-04-24 23:00:00,168,69.4047619047619,87.30000000000001,100.0,10.057561441477198
37,2024-04-19,2024-04-25 23:00:00,168,69.33333333333333,87.30000000000001,100.0,9.973882160430794
38,2024-04-20,2024-04-26 23:00:00,168,68.26190476190476,85.30000000000001,100.0,9.797523078434919
39,2024-04-21,2024-04-27 23:00:00,168,69.25,89.0,101.0,11.019412745807292
40,2024-04-22,2024-04-28 23:00:00,168,68.33333333333333,89.0,101.0,11.495355154507767
41,2024-04-23,2024-04-29 23:00:00,168,67.19047619047619,89.0,101.0,12.61989526270444
42,2024-04-24,2024-04-30 23:00:00,168,66.29166666666667,89.30000000000001,101.0,13.262531249286907
43,2024-04-25,2024-05-01 23:00:00,168,63.666666666666664,87.30000000000001,101.0,14.03086435951227
