target_timestamp,y_true,baseline_y_pred,baseline_lower,baseline_upper,best_y_pred,best_lower,best_upper
2024-01-18 10:00:00,46.0,6.0,-21.0,33.0,13.225814898288501,1.6928586556443364,28.63915624062208
2024-01-18 11:00:00,55.0,32.0,5.0,59.0,22.27072178586446,3.8442338928041186,39.65631036153153
2024-01-18 12:00:00,58.0,35.0,8.0,62.0,26.399468746173163,6.796748827940183,45.15733356095601
2024-01-18 13:00:00,55.0,39.0,12.0,66.0,29.252477287579055,8.562614358436502,48.382008456729466
2024-01-18 14:00:00,61.0,49.0,22.0,76.0,34.61505850543968,11.485801941407566,51.99292702049652
2024-01-18 15:00:00,61.0,55.0,28.0,82.0,37.06208353692257,14.054301917707267,54.30013484191349
2024-01-18 16:00:00,53.0,41.0,14.0,68.0,30.46305584528632,9.724110260403378,50.83499252904195
2024-01-18 17:00:00,45.0,30.0,3.0,57.0,25.944345444925535,4.732546871474592,46.210329347071486
2024-01-18 18:00:00,28.0,42.0,15.0,69.0,26.614670679848015,3.9644528883072727,48.22021943565785
2024-01-18 19:00:00,19.0,30.0,3.0,57.0,20.380555425894652,1.3791262392773218,43.8077298063074
2024-01-18 20:00:00,16.0,45.0,18.0,72.0,23.107281550148475,1.6198672070538134,47.507009852223234
2024-01-18 21:00:00,14.0,45.0,18.0,72.0,23.759919337108883,1.3565048974249057,47.54064545561589
2024-01-18 22:00:00,34.0,49.0,22.0,76.0,25.53498140158255,1.297112135287064,48.370837213036964
2024-01-18 23:00:00,41.0,49.0,22.0,76.0,25.581968195414436,0.9042738369924535,48.76678134637743
2024-01-19 00:00:00,40.0,51.0,24.0,78.0,26.91983174396121,0.6804981121302993,50.664561261296484
2024-01-19 01:00:00,34.0,61.0,34.0,88.0,33.13102087097642,1.5690537509175333,53.75854726803303
2024-01-19 02:00:00,31.0,63.0,36.0,90.0,34.955512302153,5.513920009492051,57.45506678168877
2024-01-19 03:00:00,41.0,57.0,30.0,84.0,35.068628114194276,4.778303392801645,57.40092744353678
2024-01-19 04:00:00,52.0,46.0,19.0,73.0,29.673386896106937,1.0620487767757418,54.344300375141955
2024-01-19 05:00:00,52.0,28.0,1.0,55.0,22.289013160167467,-0.40153785754482474,48.5328393858454
2024-01-19 06:00:00,52.0,23.0,-4.0,50.0,18.956029947044023,-0.5711840770948395,43.85508676843031
2024-01-19 07:00:00,43.0,18.0,-9.0,45.0,12.735717451600767,0.7424209658411431,37.41538540625704
2024-01-19 08:00:00,32.0,13.0,-14.0,40.0,11.22219674352026,0.6715266904829083,33.862190489681716
2024-01-19 09:00:00,33.0,22.0,-5.0,49.0,16.34934126286329,2.5508204729040163,38.061335915525085
2024-01-19 10:00:00,34.0,46.0,19.0,73.0,26.180461487165957,5.21925068957371,45.066836490016996
2024-01-19 11:00:00,37.0,55.0,28.0,82.0,35.004879272146816,10.786394829661994,53.75928566972591
2024-01-19 12:00:00,35.0,58.0,31.0,85.0,40.28360027005948,17.405752332067497,57.788519799351974
2024-01-19 13:00:00,39.0,55.0,28.0,82.0,41.52404600738315,19.970488947035932,59.719607796253364
2024-01-19 14:00:00,28.0,61.0,34.0,88.0,45.340109167861215,22.96256206473135,61.34711472927948
2024-01-19 15:00:00,16.0,61.0,34.0,88.0,47.770971443471936,25.633903855308255,63.2614100160846
2024-01-19 16:00:00,20.0,53.0,26.0,80.0,39.58923415129314,19.253232079999133,60.03514909582432
2024-01-19 17:00:00,31.0,45.0,18.0,72.0,33.08587676065997,11.19905924127141,53.86942367824798
2024-01-19 18:00:00,35.0,28.0,1.0,55.0,27.900909824919786,6.7086534272509875,50.86742277897778
2024-01-19 19:00:00,34.0,19.0,-8.0,46.0,20.581623198285207,1.6865594355453029,47.3756980208784
2024-01-19 20:00:00,11.0,16.0,-11.0,43.0,20.838983727850017,1.4076129370775812,46.657044312276604
2024-01-19 21:00:00,10.0,14.0,-13.0,41.0,20.236951874360404,1.3569668660250893,45.453042294689155
2024-01-19 22:00:00,27.0,34.0,7.0,61.0,24.286188399362146,2.1372247287234933,48.53439807235297
2024-01-19 23:00:00,38.0,41.0,14.0,68.0,26.55772284774313,3.218663778303185,52.195758116833986
2024-01-20 00:00:00,51.0,40.0,13.0,67.0,33.29082962849212,6.974419815698723,57.11353425003266
2024-01-20 01:00:00,42.0,34.0,7.0,61.0,32.38715486155967,7.204983192439288,57.07784500657163
2024-01-20 02:00:00,32.0,31.0,4.0,58.0,31.52569353654652,6.674027235846788,57.51769432014143
2024-01-20 03:00:00,34.0,41.0,14.0,68.0,33.673334536346566,6.603042045365363,59.563935101891815
2024-01-20 04:00:00,18.0,52.0,25.0,79.0,36.23342956451201,6.555975739243426,59.89069877094698
2024-01-20 05:00:00,16.0,52.0,25.0,79.0,35.30004923578797,6.90049733186474,59.12811252134833
2024-01-20 06:00:00,17.0,52.0,25.0,79.0,34.96662213254081,7.049761237960125,58.70491990221544
2024-01-20 07:00:00,20.0,43.0,16.0,70.0,31.52673537584328,5.174773057532256,54.68410672329082
2024-01-20 08:00:00,14.0,32.0,5.0,59.0,28.710001324964846,4.214856890679414,52.91963155376291
2024-01-20 09:00:00,31.0,33.0,6.0,60.0,31.522979532950913,8.766807481207223,53.49369886694399
2024-01-20 10:00:00,45.0,34.0,7.0,61.0,36.6432372731565,13.886380484366287,56.11431007667345
2024-01-20 11:00:00,44.0,37.0,10.0,64.0,41.912405904196795,21.061856684320674,59.86133231425779
2024-01-20 12:00:00,51.0,35.0,8.0,62.0,43.811313109657604,25.210575202192235,62.17344727811883
2024-01-20 13:00:00,68.0,39.0,12.0,66.0,45.77023039941429,26.716129458676967,62.72480446695989
2024-01-20 14:00:00,71.0,28.0,1.0,55.0,45.25102846053812,28.475484765872473,64.1143580915683
2024-01-20 15:00:00,74.0,16.0,-11.0,43.0,42.0532921018578,22.890863306984016,60.00693120370701
