model,horizon,feature,coefficient_standardized,abs_coefficient_standardized
linear_regression,4,o3_at_origin,12.97786378866015,12.97786378866015
linear_regression,4,o3_lag_1h,-3.414506392922988,3.414506392922988
linear_regression,4,o3_lag_2h,0.03154665203583754,0.03154665203583754
linear_regression,4,o3_lag_3h,-0.9582958210822212,0.9582958210822212
linear_regression,4,o3_lag_6h,0.777862711466615,0.777862711466615
linear_regression,4,o3_lag_12h,-2.2846244663580753,2.2846244663580753
linear_regression,4,o3_prev_day_same_hour,4.717194024011835,4.717194024011835
linear_regression,4,o3_target_lag_48h,2.979769977805263,2.979769977805263
linear_regression,4,o3_roll_mean_6h,-2.0492235538752004,2.0492235538752004
linear_regression,4,o3_roll_mean_24h,6.736966431349997,6.736966431349997
linear_regression,4,o3_roll_std_6h,0.12581364714655452,0.12581364714655452
linear_regression,4,o3_roll_std_24h,2.13922065676208,2.13922065676208
linear_regression,4,o3_roll_max_24h,-1.5244289782215068,1.5244289782215068
linear_regression,4,o3_roll_missing_ratio_24h,0.0949061128882322,0.0949061128882322
linear_regression,12,target_hour_sin,-5.901672840169186,5.901672840169186
linear_regression,12,target_hour_cos,-1.6951338537229976,1.6951338537229976
linear_regression,12,target_dayofweek_sin,1.0457986527494487,1.0457986527494487
linear_regression,12,target_dayofweek_cos,-1.084756636138926,1.084756636138926
linear_regression,12,target_month_sin,2.084849062725762,2.084849062725762
linear_regression,12,target_month_cos,-2.7832660322288105,2.7832660322288105
linear_regression,12,target_is_weekend,3.827854042857147,3.827854042857147
linear_regression,12,o3_at_origin,2.756114699208286,2.756114699208286
linear_regression,12,o3_lag_1h,-0.10808144029376442,0.10808144029376442
linear_regression,12,o3_lag_2h,0.6664924945392694,0.6664924945392694
linear_regression,12,o3_lag_3h,-0.5901126225212215,0.5901126225212215
linear_regression,12,o3_lag_6h,0.6606509797112433,0.6606509797112433
linear_regression,12,o3_lag_12h,8.418734241547218,8.418734241547218
linear_regression,12,o3_target_lag_48h,3.640556274536954,3.640556274536954
linear_regression,12,o3_roll_mean_6h,0.3555430626159236,0.3555430626159236
linear_regression,12,o3_roll_mean_24h,-1.166743580698258,1.166743580698258
linear_regression,12,o3_roll_std_6h,0.2525056419456038,0.2525056419456038
linear_regression,12,o3_roll_std_24h,1.1365635434621253,1.1365635434621253
linear_regression,12,o3_roll_max_24h,1.7237962444413695,1.7237962444413695
linear_regression,12,o3_roll_missing_ratio_24h,0.14621169587123098,0.14621169587123098
linear_regression,24,target_hour_sin,-4.262998574608985,4.262998574608985
linear_regression,24,target_hour_cos,-1.4643291375921987,1.4643291375921987
linear_regression,24,target_dayofweek_sin,0.7726318951567938,0.7726318951567938
linear_regression,24,target_dayofweek_cos,-0.8047751645252926,0.8047751645252926
linear_regression,24,target_month_sin,2.8819741246248722,2.8819741246248722
linear_regression,24,target_month_cos,-3.946817886682045,3.946817886682045
linear_regression,24,target_is_weekend,3.7471210853024353,3.7471210853024353
linear_regression,24,o3_at_origin,7.474400529446716,7.474400529446716
linear_regression,24,o3_lag_1h,1.0443150353373265,1.0443150353373265
linear_regression,24,o3_lag_2h,1.0474254311530646,1.0474254311530646
linear_regression,24,o3_lag_3h,0.24037112027387467,0.24037112027387467
linear_regression,24,o3_lag_6h,-1.0731865741721278,1.0731865741721278
linear_regression,24,o3_lag_12h,0.9792491934482371,0.9792491934482371
linear_regression,24,o3_target_lag_48h,3.9196019595340084,3.9196019595340084
linear_regression,24,o3_roll_mean_6h,0.5994710683568271,0.5994710683568271
linear_regression,24,o3_roll_mean_24h,-2.0437927204579007,2.0437927204579007
linear_regression,24,o3_roll_std_6h,0.4248673753694757,0.4248673753694757
linear_regression,24,o3_roll_std_24h,1.1267550292950472,1.1267550292950472
linear_regression,24,o3_roll_max_24h,1.5159771976237315,1.5159771976237315
linear_regression,24,o3_roll_missing_ratio_24h,-0.23517991614804598,0.23517991614804598
